artist_id,artist_genres
360IAlyVv4PCEVjgyMZrxK,"['r&b', 'urban contemporary']"
04gDigrS5kc9YWfZHwBETP,['pop']
1rCIEwPp5OnXW0ornlSsRl,"['canadian indie', 'canadian rock', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop']"
0X2BH1fck6amBIoJhDVmmJ,"['indietronica', 'metropopolis', 'pop', 'uk pop']"
2LJxr7Pt3JnP60eLxwbDOu,"['dance pop', 'hollywood', 'neo mellow', 'post-teen pop']"
3tJnB0s6c3oXPq1SCCavnd,"['grupera', 'latin pop', 'musica mexicana', 'ranchera']"
2usAJ9Mtrw570XlQ5MHJek,"['banda', 'corrido', 'musica mexicana', 'sierreno']"
1ZdhAl62G6ZlEKqIwUAfZR,"['indie rock mexicano', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']"
0nmQIMXWTXfhgOBdNzhGOs,['alternative metal']
3o2dn2O0FCVsWDFSh8qxgG,"['power metal', 'swedish metal', 'swedish power metal']"
07PdYoE4jVRF6Ut40GgVSP,"['latin hip hop', 'mexican hip hop']"
0pgvlX0BkfmeirXTDiNmya,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
5BtHciL0e0zOP7prIHn3pP,"['alternative metal', 'nu metal', 'post-grunge']"
6bsEozzA1CHU0TIq2DXDxq,['pop rap']
4Yfe8uXcl5PYwknQ4OMZIP,"['chilena', 'musica mexicana', 'sierreno']"
7FBcuc1gsnv6Y1nwFtNRCb,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']"
44WCHvwXBOMz6nm7Mu2ReO,"['banda', 'grupera', 'gruperas inmortales', 'grupero romantico', 'musica mexicana', 'norteno']"
1mbgj8ERPs8lWi7t5cYrdy,"['chanson', 'french jazz', 'nouvelle chanson francaise']"
3GjVVVcFmUgEJEAAsbGkf4,"['duluth indie', 'indie folk', 'jam band', 'new americana', 'progressive bluegrass', 'stomp and holler']"
4jogXSSvlyMkODGSZ2wc2P,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
3N8Hy6xQnQv1F1XCiyGQqA,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']"
6p2442ymrT9lZEuCZJdYcH,"['latin hip hop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
2gRP1Ezbtj3qrERnd0XasU,"['latin arena pop', 'latin pop']"
